2013-06,0,11,555,417
2013-07,1,7,438,365
2013-08,5,10,479,394
2013-09,5,8,530,485
2013-10,1,3,492,434
2013-11,2,6,408,445
2013-12,2,9,372,362
2014-01,1,5,443,468
2014-02,1,6,455,336
2014-03,7,8,484,417
2014-04,0,4,451,436
2014-05,1,13,434,418
2014-06,0,1,442,373
2014-07,1,1,436,330
2014-08,2,2,741,563
2014-09,5,29,555,504
2014-10,15,1,574,412
2014-11,3,4,475,353
2014-12,1,0,592,473
2015-01,3,5,755,557
2015-02,1,7,587,399
2015-03,1,13,601,416
2015-04,0,4,525,405
2015-05,2,2,411,345
2015-06,7,0,525,316
2015-07,4,1,468,264
2015-08,1,0,394,284
2015-09,4,3,493,351
2015-10,6,2,463,342
2015-11,1,1,558,361
2015-12,15,6,422,289
2016-01,9,2,571,289
2016-02,2,1,510,306
2016-03,6,1,459,318
2016-04,0,3,419,346
2016-05,2,0,487,305
2016-06,5,0,456,295
2016-07,2,2,447,327
2016-08,2,3,498,271
2016-09,15,3,543,312
2016-10,1,16,483,310
2016-11,30,1,497,285
2016-12,4,5,469,331
2017-01,24,37,637,332
2017-02,22,8,515,321
2017-03,3,12,649,334
2017-04,12,5,403,390
2017-05,4,17,454,360
2017-06,1,3,440,322
2017-07,4,14,592,321
2017-08,1,5,466,277
2017-09,3,5,328,269
2017-10,16,4,390,267
2017-11,7,2,481,307
2017-12,10,3,436,317
2018-01,33,6,452,272
2018-02,10,3,430,310
2018-03,6,8,501,349
2018-04,10,7,571,359
2018-05,26,9,500,283
2018-06,23,10,472,290
2018-07,27,4,435,348
2018-08,21,7,434,412
2018-09,13,6,458,262
2018-10,45,6,454,484
2018-11,7,0,451,274
2018-12,72,1,502,484
2019-01,34,5,586,292
2019-02,71,3,526,545
2019-03,23,4,547,266
2019-04,7,7,569,379
2019-05,17,0,516,255
2019-06,14,3,447,237
2019-07,11,5,490,243
2019-08,16,9,535,340
2019-09,22,2,464,239
2019-10,12,7,374,237
